width(7).
height(7).
poke_nums(1).
egg_time(3).
start(2, 3).
end(3, 3).
wall(1, 2).
wall(1, 0).
wall(0, 1).
wall(0, 1).
wall(1, 3).
wall(1, 1).
wall(0, 2).
wall(0, 2).
wall(1, 4).
wall(1, 2).
wall(0, 3).
wall(0, 3).
wall(1, 5).
wall(1, 3).
wall(0, 4).
wall(0, 4).
wall(1, 6).
wall(1, 4).
wall(0, 5).
wall(0, 5).
wall(2, 2).
wall(2, 0).
wall(1, 1).
wall(1, 1).
wall(2, 3).
wall(2, 1).
wall(1, 2).
wall(2, 4).
wall(2, 2).
wall(1, 3).
wall(2, 5).
wall(2, 3).
wall(1, 4).
wall(2, 6).
wall(2, 4).
wall(1, 5).
wall(1, 5).
wall(3, 2).
wall(3, 0).
wall(2, 1).
wall(2, 1).
wall(3, 3).
wall(3, 1).
has_pokemon(3, 3).
wall(3, 4).
wall(3, 2).
wall(3, 5).
wall(3, 3).
wall(3, 6).
wall(3, 4).
wall(2, 5).
wall(2, 5).
wall(4, 2).
wall(4, 0).
wall(3, 1).
wall(3, 1).
wall(4, 1).
wall(3, 2).
wall(3, 3).
wall(4, 5).
wall(3, 4).
wall(4, 6).
wall(4, 4).
wall(3, 5).
wall(3, 5).
wall(5, 2).
wall(5, 0).
wall(4, 1).
wall(4, 1).
wall(5, 3).
wall(5, 1).
wall(4, 2).
wall(4, 2).
wall(5, 4).
wall(5, 2).
wall(4, 3).
wall(4, 3).
wall(5, 5).
wall(5, 3).
wall(4, 4).
wall(4, 4).
wall(5, 6).
wall(5, 4).
wall(4, 5).
wall(4, 5).
